application_id,customer_id,product,requested_amount,tenure_months,existing_emi,credit_score,purpose,decision_label
APP001,100100,PERSONAL,287697,12,31552,659,VEHICLE,REJECT
APP002,100101,PERSONAL,112622,12,6492,761,WORKING_CAPITAL,REJECT
APP003,100102,PERSONAL,135895,36,32765,668,EXPANSION,REFER
APP004,100103,BUSINESS,2142042,48,0,622,ELECTRONICS,REJECT
APP005,100104,PERSONAL,443098,24,0,767,EDUCATION,APPROVE
APP006,100105,PERSONAL,225642,36,36326,649,EXPANSION,REFER
APP007,100106,PERSONAL,187861,12,47474,707,TOP_UP,REJECT
APP008,100107,BUSINESS,1255234,24,21370,707,TRAVEL,REJECT
APP009,100108,PERSONAL,242774,18,0,645,EDUCATION,REFER
APP010,100109,BUSINESS,1913733,24,4822,638,INVENTORY,REJECT
APP011,100110,BUSINESS,505386,24,2000,799,MEDICAL,APPROVE
APP012,100111,PERSONAL,74107,36,13391,673,HOME_RENOVATION,REFER
APP013,100112,PERSONAL,143827,12,3766,721,INVENTORY,REFER
APP014,100113,HOME,1941685,180,59891,643,HOME_RENOVATION,REJECT
APP015,100114,PERSONAL,192217,12,9326,726,ELECTRONICS,REFER
APP016,100115,PERSONAL,313214,12,0,625,WEDDING,REJECT
APP017,100116,BUSINESS,596319,60,37190,597,TOP_UP,REJECT
APP018,100117,PERSONAL,455551,24,11763,663,EDUCATION,REFER
APP019,100118,BUSINESS,1457866,24,19521,674,WEDDING,REFER
APP020,100119,PERSONAL,345597,24,33723,769,TRAVEL,APPROVE
APP021,100120,PERSONAL,293231,24,36648,731,TOP_UP,REFER
APP022,100121,PERSONAL,434021,18,62267,618,MEDICAL,REJECT
APP023,100122,HOME,1100286,120,20345,718,ELECTRONICS,REFER
APP024,100123,PERSONAL,225645,12,11153,774,VEHICLE,REFER
APP025,100124,HOME,4560989,240,41648,766,DEBT_CONSOLIDATION,REFER
APP026,100125,PERSONAL,157580,18,21623,687,TOP_UP,REJECT
APP027,100126,PERSONAL,124644,24,4414,603,MEDICAL,REJECT
APP028,100127,PERSONAL,493287,36,9121,759,ELECTRONICS,REFER
APP029,100128,HOME,4136917,120,83106,728,EDUCATION,REJECT
APP030,100129,BUSINESS,779998,60,18645,599,TRAVEL,REJECT
APP031,100130,BUSINESS,630616,60,17805,749,WORKING_CAPITAL,APPROVE
APP032,100131,PERSONAL,202922,24,10384,797,ELECTRONICS,REFER
APP033,100132,HOME,3939056,240,20938,663,ELECTRONICS,REFER
APP034,100133,HOME,2140665,120,2899,599,WEDDING,REJECT
APP035,100134,PERSONAL,458911,12,16611,619,EDUCATION,REJECT
APP036,100135,PERSONAL,285702,36,7294,660,HOME_RENOVATION,REFER
APP037,100136,PERSONAL,330978,24,10724,777,WEDDING,APPROVE
APP038,100137,HOME,2293136,180,57103,647,EDUCATION,REFER
APP039,100138,PERSONAL,132635,24,52588,791,INVENTORY,REFER
APP040,100139,BUSINESS,584577,36,105062,793,ELECTRONICS,REFER
APP041,100140,PERSONAL,97821,18,11213,671,HOME_RENOVATION,REFER
APP042,100141,BUSINESS,602656,48,4000,646,WORKING_CAPITAL,REFER
APP043,100142,PERSONAL,262017,36,5291,722,INVENTORY,REFER
APP044,100143,BUSINESS,1023978,24,26841,698,EDUCATION,REJECT
APP045,100144,PERSONAL,113676,12,4128,595,WEDDING,REJECT
APP046,100145,PERSONAL,153878,36,35515,675,VEHICLE,REFER
APP047,100146,PERSONAL,355305,24,18036,814,EDUCATION,APPROVE
APP048,100147,PERSONAL,83801,18,39369,811,VEHICLE,APPROVE
APP049,100148,HOME,4394444,120,86142,603,ELECTRONICS,REJECT
APP050,100149,PERSONAL,72385,36,6526,592,WORKING_CAPITAL,REJECT
APP051,100150,BUSINESS,1408394,60,58171,707,MEDICAL,REFER
APP052,100151,HOME,3865602,180,4396,624,ELECTRONICS,REJECT
APP053,100152,PERSONAL,148121,24,38538,651,TOP_UP,REFER
APP054,100153,PERSONAL,68166,18,2000,745,DEBT_CONSOLIDATION,APPROVE
APP055,100154,HOME,2728020,240,18010,702,MEDICAL,REFER
APP056,100155,PERSONAL,196683,36,10797,615,HOME_RENOVATION,REJECT
APP057,100156,PERSONAL,386935,18,6857,741,EXPANSION,APPROVE
APP058,100157,PERSONAL,250539,24,25780,702,EXPANSION,REJECT
APP059,100158,HOME,2442983,240,30411,708,ELECTRONICS,REFER
APP060,100159,HOME,2134289,120,47637,586,ELECTRONICS,REJECT
APP061,100160,BUSINESS,959318,24,13003,809,DEBT_CONSOLIDATION,REJECT
APP062,100161,PERSONAL,473967,36,24204,715,ELECTRONICS,REFER
APP063,100162,BUSINESS,988137,36,29761,605,WEDDING,REJECT
APP064,100163,PERSONAL,189736,12,0,775,WEDDING,APPROVE
APP065,100164,BUSINESS,2275249,60,24296,670,WORKING_CAPITAL,REFER
APP066,100165,PERSONAL,174020,24,0,786,INVENTORY,APPROVE
APP067,100166,PERSONAL,360149,12,0,760,INVENTORY,REFER
APP068,100167,PERSONAL,347612,18,10751,724,WEDDING,REFER
APP069,100168,HOME,3273835,180,0,624,TOP_UP,REJECT
APP070,100169,PERSONAL,97320,12,2000,639,TRAVEL,REJECT
APP071,100170,PERSONAL,60448,36,18150,580,ELECTRONICS,REJECT
APP072,100171,BUSINESS,922501,36,17029,667,INVENTORY,REFER
APP073,100172,PERSONAL,470701,24,12183,595,MEDICAL,REJECT
APP074,100173,PERSONAL,357552,18,35984,778,EDUCATION,APPROVE
APP075,100174,BUSINESS,2304954,48,0,598,ELECTRONICS,REJECT
APP076,100175,HOME,3457932,120,22623,666,DEBT_CONSOLIDATION,REJECT
APP077,100176,PERSONAL,121539,18,57613,767,HOME_RENOVATION,REFER
APP078,100177,HOME,3722859,180,6674,624,INVENTORY,REJECT
APP079,100178,BUSINESS,1954501,48,16362,637,VEHICLE,REJECT
APP080,100179,BUSINESS,2208034,36,0,676,DEBT_CONSOLIDATION,REFER
APP081,100180,PERSONAL,116767,18,8824,766,MEDICAL,REFER
APP082,100181,BUSINESS,1321247,24,20465,626,TRAVEL,REJECT
APP083,100182,PERSONAL,474047,18,0,743,TRAVEL,REJECT
APP084,100183,PERSONAL,310143,18,20276,664,INVENTORY,REFER
APP085,100184,PERSONAL,174778,24,30012,661,WORKING_CAPITAL,REFER
APP086,100185,PERSONAL,480787,24,42150,694,MEDICAL,REFER
APP087,100186,PERSONAL,159934,18,6395,757,EDUCATION,APPROVE
APP088,100187,PERSONAL,184562,12,0,764,MEDICAL,APPROVE
APP089,100188,PERSONAL,252342,36,4906,767,HOME_RENOVATION,APPROVE
APP090,100189,PERSONAL,267065,36,4097,805,HOME_RENOVATION,REFER
APP091,100190,PERSONAL,336273,36,0,605,TOP_UP,REJECT
APP092,100191,BUSINESS,1865182,36,7649,621,TOP_UP,REJECT
APP093,100192,PERSONAL,469008,12,28586,655,MEDICAL,REJECT
APP094,100193,PERSONAL,186906,12,43528,598,ELECTRONICS,REJECT
APP095,100194,PERSONAL,246848,18,16076,767,EDUCATION,APPROVE
APP096,100195,BUSINESS,2475169,24,9295,666,TRAVEL,REJECT
APP097,100196,BUSINESS,2373231,60,56092,760,MEDICAL,REJECT
APP098,100197,HOME,4952889,240,13080,622,TRAVEL,REJECT
APP099,100198,HOME,1658941,120,8404,605,ELECTRONICS,REJECT
APP100,100199,PERSONAL,149606,36,23471,758,EXPANSION,REFER
APP101,100200,BUSINESS,1056300,48,5486,656,WEDDING,REFER
APP102,100201,PERSONAL,76023,36,9511,726,EXPANSION,REFER
APP103,100202,HOME,1644202,120,0,672,MEDICAL,REFER
APP104,100203,HOME,1367539,180,47739,790,VEHICLE,REJECT
APP105,100204,BUSINESS,1507321,36,30979,604,MEDICAL,REJECT
APP106,100205,PERSONAL,139565,24,51031,600,TOP_UP,REJECT
APP107,100206,PERSONAL,211665,36,8911,700,TOP_UP,REFER
APP108,100207,PERSONAL,97781,36,11063,627,ELECTRONICS,REJECT
APP109,100208,HOME,2549382,120,6750,694,MEDICAL,REFER
APP110,100209,PERSONAL,280550,36,22012,647,WEDDING,REJECT
APP111,100210,PERSONAL,345827,12,16701,618,INVENTORY,REJECT
APP112,100211,PERSONAL,94935,24,8324,786,EXPANSION,APPROVE
APP113,100212,HOME,4172810,240,2000,638,EXPANSION,REJECT
APP114,100213,PERSONAL,490819,36,16653,789,EXPANSION,REFER
APP115,100214,HOME,3246110,240,12561,801,TOP_UP,REFER
APP116,100215,BUSINESS,2348962,36,21690,701,DEBT_CONSOLIDATION,REJECT
APP117,100216,PERSONAL,256991,12,25951,708,TRAVEL,REFER
APP118,100217,BUSINESS,2178666,36,4949,610,TOP_UP,REJECT
APP119,100218,PERSONAL,137642,18,29366,786,WEDDING,REFER
APP120,100219,PERSONAL,72374,36,27315,600,VEHICLE,REJECT
APP121,100100,HOME,1846910,240,31552,617,TRAVEL,REJECT
APP122,100101,PERSONAL,217640,12,6492,602,HOME_RENOVATION,REJECT
APP123,100102,BUSINESS,1333313,48,32765,799,DEBT_CONSOLIDATION,REJECT
APP124,100103,BUSINESS,1460825,24,0,781,INVENTORY,APPROVE
APP125,100104,BUSINESS,1732236,60,0,608,HOME_RENOVATION,REJECT
APP126,100105,PERSONAL,127699,12,36326,816,EDUCATION,REJECT
APP127,100106,BUSINESS,2134823,24,47474,781,DEBT_CONSOLIDATION,REJECT
